index,sequence,robotz,exposure,blur
0075,3,1423,40,263
0076,0,843,40,315
0076,1,1023,40,251
0076,2,1216,40,324
0076,3,1419,40,137
0077,0,848,40,542
0077,1,1027,40,314
0077,2,1219,40,225
0077,3,1426,40,183
0078,0,817,40,509
0078,1,1003,40,351
0078,2,1204,40,303
0078,3,1416,40,502
0079,0,851,40,643
0079,1,1030,40,550
0079,2,1220,40,641
0079,3,1410,40,605
0080,0,836,45,549
0080,1,1017,45,408
0080,2,1213,45,342
0080,3,1424,45,315
0080,4,1608,45,342
0081,0,844,45,628
0081,1,1024,45,654
0081,2,1240,45,723
0082,0,842,45,331
0082,1,1022,45,287
0082,2,1216,45,346
0082,3,1402,45,383
0083,0,801,45,475
0083,1,1030,45,392
0083,2,1221,45,314
0083,3,1418,45,242
0084,0,824,45,582
0084,1,1008,45,523
0084,2,1207,45,632
0084,3,1411,45,499
0085,0,822,45,453
0085,1,1046,45,364
0085,2,1206,45,251
0085,3,1415,45,384
0086,0,804,45,526
0086,1,1033,45,365
0086,2,1222,45,432
0086,3,1404,45,679
0087,0,829,45,432
0087,1,1012,45,341
0087,2,1209,45,334
0087,3,1423,45,305
0088,0,839,45,505
0088,1,1020,45,349
0088,2,1214,45,714
0088,3,1402,45,579
0088,4,1601,45,605
0089,0,849,45,527
0089,1,1028,45,453
0089,2,1219,45,332
0089,3,1402,45,267
0090,0,827,50,465
0090,1,1050,50,339
0090,2,1209,50,251
0090,3,1422,50,204
0091,0,848,50,603
0091,1,1027,50,640
0091,2,1219,50,701
0092,0,804,50,396
0092,1,1032,50,179
0092,2,1222,50,99
0092,3,1409,50,773
0093,0,835,50,409
0093,1,1017,50,334
0093,2,1213,50,258
0093,3,1412,50,394
0094,0,846,50,543
0094,1,1025,50,455
0094,2,1218,50,433
0094,3,1402,50,515
0094,4,1601,50,300
0095,0,823,50,627
0095,1,1007,50,659
0095,2,1206,50,712
0096,0,859,50,598
0096,1,1036,50,674
0096,2,1224,50,691
0097,0,836,50,598
0097,1,1018,50,550
0097,2,1213,50,483
0097,3,1415,50,581
0098,0,841,50,457
0098,1,1022,50,430
0098,2,1216,50,296
0098,3,1402,50,347
0099,0,812,50,577
0099,1,1004,50,330
0099,2,1212,50,217
0099,3,1421,50,315
0100,0,824,55,460
0100,1,1008,55,425
0100,2,1207,55,328
0100,3,1418,55,202
0101,0,835,55,442
0101,1,1016,55,368
0101,2,1212,55,339
0101,3,1424,55,159
0101,4,1619,55,118
0102,0,819,55,444
0102,1,1004,55,332
0102,2,1204,55,357
0102,3,1415,55,477
0103,0,826,55,407
0103,1,1010,55,347
0103,2,1208,55,292
0103,3,1424,55,334
0104,0,818,55,496
0104,1,1003,55,320
0104,2,1204,55,342
0104,3,1416,55,587
0105,0,834,55,464
0105,1,1016,55,327
0105,2,1212,55,426
0105,3,1405,55,390
0106,0,801,55,446
0106,1,1068,55,401
0106,2,1221,55,362
0106,3,1414,55,428
0107,0,834,55,417
0107,1,1016,55,349
0107,2,1212,55,275
0107,3,1442,55,751
0108,0,822,55,379
0108,1,1007,55,250
0108,2,1206,55,227
0108,3,1405,55,219
0109,0,823,55,479
0109,1,1007,55,258
0109,2,1207,55,414
0109,3,1416,55,772
0110,0,812,60,378
0110,1,1038,60,211
0110,2,1201,60,369
0110,3,1415,60,210
0111,0,831,60,442
0111,1,1013,60,404
0111,2,1210,60,437
0111,3,1424,60,309
0111,4,1619,60,309
0112,0,836,60,427
0112,1,1017,60,322
0112,2,1213,60,247
0112,3,1424,60,259
0112,4,1615,60,225
0113,0,811,60,344
0113,1,1038,60,363
0113,2,1201,60,417
0113,3,1416,60,853
0114,0,850,60,463
0114,1,1029,60,585
0114,2,1220,60,616
0115,0,830,60,488
0115,1,1013,60,558
0115,2,1210,60,452
0115,3,1401,60,332
0116,0,825,60,389
0116,1,1009,60,395
0116,2,1207,60,382
0116,3,1424,60,228
0116,4,1619,60,245
0117,0,842,60,493
0117,1,1022,60,332
0117,2,1216,60,346
0117,3,1431,60,190
0118,0,850,60,460
0118,1,1029,60,227
0118,2,1220,60,191
0118,3,1409,60,584
0119,0,850,60,395
0119,1,1029,60,259
0119,2,1220,60,225
0119,3,1409,60,231
0119,4,1601,60,246
0120,0,855,65,413
0120,1,1033,65,411
0120,2,1222,65,477
0120,3,1406,65,429
0121,0,836,65,332
0121,1,1017,65,274
0121,2,1213,65,268
0121,3,1429,65,313
0122,0,831,65,390
0122,1,1014,65,333
0122,2,1211,65,275
0122,3,1409,65,188
0123,0,805,65,332
0123,1,1033,65,299
0123,2,1222,65,226
0123,3,1401,65,194
0124,0,824,65,357
0124,1,1008,65,346
0124,2,1207,65,374
0124,3,1411,65,347
0125,0,843,65,332
0125,1,1023,65,260
0125,2,1216,65,228
0125,3,1402,65,176
0125,4,1628,65,194
0126,0,803,65,341
0126,1,1032,65,285
0126,2,1222,65,315
0126,3,1415,65,346
0127,0,841,65,432
0127,1,1021,65,344
0127,2,1215,65,317
0127,3,1401,65,264
0128,0,807,65,525
0128,1,1015,65,426
0128,2,1207,65,450
0128,3,1421,65,394
0129,0,826,65,410
0129,1,1010,65,363
0129,2,1208,65,432
0129,3,1416,65,300
0130,0,839,70,391
0130,1,1020,70,385
0130,2,1214,70,446
0130,3,1421,70,440
0131,0,843,70,359
0131,1,1023,70,295
0131,2,1216,70,267
0131,3,1402,70,105
0131,4,1628,70,196
0132,0,818,70,268
0132,1,1003,70,187
0132,2,1204,70,173
0132,3,1416,70,177
0133,0,830,70,326
0133,1,1013,70,277
0133,2,1210,70,210
0133,3,1402,70,280
0134,0,827,70,335
0134,1,1050,70,221
0134,2,1208,70,143
0134,3,1424,70,133
0134,4,1619,70,312
0135,0,846,70,342
0135,1,1025,70,314
0135,2,1218,70,250
0135,3,1431,70,115
0135,4,1619,70,155
0136,0,814,70,402
0136,1,1040,70,296
0136,2,1202,70,220
0136,3,1416,70,335
0137,0,823,70,332
0137,1,1007,70,309
0137,2,1207,70,274
0137,3,1416,70,357
0137,4,1628,70,414
0138,0,829,70,420
0138,1,1012,70,326
0138,2,1209,70,292
0138,3,1411,70,314
0139,0,848,70,205
0139,1,1027,70,184
0139,2,1219,70,181
0139,3,1402,70,173
0139,4,1628,70,130
0140,0,827,75,359
0140,1,1011,75,335
0140,2,1209,75,310
0140,3,1414,75,356
0141,0,803,75,388
0141,1,1031,75,413
0141,2,1221,75,440
0141,3,1412,75,434
0142,0,849,75,354
0142,1,1028,75,313
0142,2,1219,75,409
0142,3,1416,75,350
0143,0,825,75,375
0143,1,1009,75,404
0143,2,1207,75,457
0144,0,845,75,447
0144,1,1024,75,389
0144,2,1217,75,278
0144,3,1402,75,353
0145,0,899,75,299
0145,1,1029,75,249
0145,2,1220,75,252
0145,3,1409,75,293
0146,0,802,75,357
0146,1,1031,75,226
0146,2,1221,75,274
0146,3,1410,75,205
0147,0,850,75,364
0147,1,1028,75,278
0147,2,1219,75,330
0147,3,1401,75,272
0148,0,835,75,325
0148,1,1017,75,294
0148,2,1212,75,223
0148,3,1424,75,352
0149,0,805,75,337
0149,1,1033,75,383
0149,2,1223,75,408
0150,0,846,80,380
0150,1,1026,80,144
0150,2,1218,80,190
0150,3,1402,80,311
0151,0,812,80,274
0151,1,1038,80,315
0151,2,1201,80,327
0151,3,1448,80,313
0152,0,818,80,344
0152,1,1003,80,291
0152,2,1204,80,327
0152,3,1421,80,364
