index,exposure,result
10,6,48682.4
11,6,40337.5
12,6,46140.4
13,6,52365.7
14,6,88425.6
15,6,121628
16,6,134471
17,6,150131
18,6,159174
19,6,146569
0,6,10883
1,6,19403.2
2,6,23307
3,6,21708.3
4,6,21963.4
5,6,44523.1
6,6,37690.7
7,6,48630.3
8,6,70658.3
9,6,93483
10,6,113529
11,6,150461
12,6,154319
13,6,219931
14,6,212854
15,6,201525
16,6,192829
17,6,156600
18,6,150723
19,6,114965
0,6,8831.13
1,6,11783.1
2,6,14057.7
3,6,19168.5
4,6,31687.6
5,6,95960
6,6,46915.6
7,6,79090.1
8,6,73523.2
9,6,54839.9
10,6,63097.4
11,6,63110.7
12,6,87452.8
13,6,87089.2
14,6,68142.3
15,6,115469
16,6,97514.7
17,6,94007.1
18,6,82110.9
19,6,74462.3
0,6,19855.4
1,6,16143.7
2,6,36546.1
3,6,31987.6
4,6,32371.9
5,6,33223.7
6,6,48902.6
7,6,47486.6
8,6,41465.8
9,6,53284.7
10,6,44253.6
11,6,46639.8
12,6,83525
13,6,78192.9
14,6,114867
15,6,124624
16,6,170688
17,6,160489
18,6,138408
19,6,130826
0,7,83629.1
1,7,60159.8
2,7,88526.9
3,7,94959.6
4,7,177778
5,7,215092
6,7,449956
7,7,1.34662e+06
8,7,3.39914e+06
9,7,2.31493e+06
10,7,7.21488e+06
11,7,3.57224e+06
12,7,6.86841e+06
13,7,2.58742e+06
14,7,3.20672e+06
15,7,4.33804e+06
16,7,3.26826e+06
17,7,6.52196e+06
18,7,4.86942e+06
19,7,6.51194e+06
0,7,20477.4
1,7,27802.9
2,7,28138.6
3,7,42145.1
4,7,52425.1
5,7,80607.8
6,7,86886.4
7,7,105767
8,7,117745
9,7,115513
10,7,126934
11,7,116655
12,7,123064
13,7,139850
14,7,151845
15,7,176786
16,7,129251
17,7,116498
18,7,134772
19,7,100293
0,7,12667.2
1,7,9674.41
2,7,6762.45
3,7,4984.69
4,7,6433.03
5,7,9518.02
6,7,11031.6
7,7,10785.3
8,7,12895.6
9,7,13900.9
10,7,13078.1
11,7,9990.8
12,7,8576.83
13,7,7106.79
14,7,7067.2
15,7,7523.72
16,7,8306.14
17,7,10215.1
18,7,10195.9
19,7,12007.7
0,7,12707.8
1,7,8262.63
2,7,28389.1
3,7,19209.3
4,7,16492.1
5,7,18402.6
6,7,21020.9
7,7,24247.2
8,7,27856.4
9,7,36265.9
10,7,36194.1
11,7,43020.7
12,7,40112.5
13,7,45993.3
14,7,33799.3
15,7,51276.4
16,7,28849.5
17,7,39058.7
18,7,44002.3
19,7,39687.9
0,7,21691.6
1,7,23075.1
2,7,32756.3
3,7,52310.5
4,7,86960.6
5,7,126173
6,7,153954
7,7,96188.8
8,7,122875
9,7,97460.9
10,7,177152
11,7,327849
12,7,349797
13,7,648503
14,7,724250
15,7,828022
16,7,923454
17,7,1.43849e+06
18,7,847638
19,7,737634
0,8,22278.8
1,8,30439.2
2,8,30527.2
3,8,33144.4
4,8,31384.7
5,8,28240.7
6,8,25032.1
7,8,66979
8,8,47327.5
9,8,60667.5
10,8,45523.1
11,8,36975.9
12,8,56190.2
13,8,50675.2
14,8,45018.4
15,8,50560.7
16,8,28331.7
17,8,23789.9
18,8,24750.9
19,8,20692.3
0,8,19052.8
1,8,13299.2
2,8,9394.46
3,8,11257
4,8,13619.7
5,8,8221.79
6,8,11987.2
7,8,15029.5
8,8,16816.4
9,8,15427.9
10,8,8587.92
11,8,122027
12,8,112177
13,8,24186
14,8,22490.6
15,8,10991.3
16,8,20239.3
17,8,20255.9
18,8,19042.6
19,8,36835.6
0,8,17724.3
1,8,18794.9
2,8,27746.1
3,8,39838.4
4,8,57776.7
5,8,47172.5
6,8,72648.8
7,8,85455
8,8,98004.2
9,8,122796
10,8,123939
11,8,146192
12,8,184383
13,8,153436
14,8,122685
15,8,141579
16,8,168906
17,8,107371
18,8,106268
19,8,128619
0,8,7875.72
1,8,7425.17
2,8,6065.2
3,8,5822.67
4,8,8739.49
5,8,9279.46
6,8,9712.15
7,8,9345.71
8,8,10709.1
9,8,13212.9
10,8,12852.3
11,8,13350.3
12,8,10079.1
13,8,9906.7
14,8,12414.7
15,8,9084.93
16,8,8496.88
17,8,10118.6
18,8,9443.17
19,8,12504
0,8,10115.6
1,8,13189.8
2,8,13230.1
3,8,11356.9
4,8,9654.35
5,8,10473.4
6,8,15013.2
7,8,15660.9
8,8,16328.3
9,8,17967.8
10,8,20475.5
11,8,20438.4
12,8,23599.3
13,8,26535.7
14,8,26533.2
15,8,23910.1
16,8,24306.3
17,8,25161.1
18,8,24284.7
19,8,26412.2
0,9,7282.04
1,9,7240.08
2,9,7780.57
3,9,11239.4
4,9,17648.5
5,9,26431.5
6,9,43182.2
7,9,63641.2
8,9,77126.6
9,9,140273
10,9,87742.6
11,9,91138
12,9,257801
13,9,1.36476e+06
14,9,854670
15,9,753527
16,9,559844
17,9,378873
18,9,246545
19,9,304483
0,9,5765.72
1,9,7345.26
2,9,8401.74
3,9,8850.94
4,9,8502.91
5,9,11080.5
6,9,14995.7
7,9,17487.4
8,9,21001.8
9,9,24113.8
10,9,29266.6
11,9,34605.9
12,9,33333.9
13,9,34331
14,9,29857.4
15,9,31306.1
16,9,30421.9
17,9,30114.7
18,9,27133.5
19,9,26985.2
0,9,12158.7
1,9,13822.1
2,9,20782
3,9,33183.3
4,9,37742
5,9,58574.6
6,9,87763.4
7,9,139492
8,9,163607
9,9,227684
10,9,279744
11,9,273456
12,9,306718
13,9,409092
14,9,492586
15,9,514724
16,9,890439
17,9,1.06631e+06
18,9,151498
19,9,113325
0,9,7931.1
1,9,7632.44
2,9,7073.48
3,9,7157.86
4,9,6354.08
5,9,4041.52
6,9,4807.75
7,9,4380.02
8,9,4391.82
9,9,4623.18
10,9,6057.11
11,9,5119.48
12,9,5711.04
13,9,6380.57
14,9,6750.83
15,9,3431.07
16,9,2892.7
17,9,2467.85
18,9,2623.15
19,9,2175.06
0,9,10980.1
1,9,8187.42
2,9,7677.78
3,9,7685.52
4,9,6942.93
5,9,7928.92
6,9,8502.02
7,9,7600.91
8,9,9295.62
9,9,33888.9
10,9,31529.6
11,9,15200.6
12,9,24934.1
13,9,79651.4
14,9,72712.2
15,9,68152
16,9,80539.7
17,9,66918.3
18,9,64117.7
19,9,67383.8
0,10,25828
1,10,17386.6
2,10,17487
3,10,16499.8
4,10,28729.5
5,10,24566.9
6,10,67026.8
7,10,67698.5
8,10,101481
9,10,154279
10,10,155825
11,10,200383
12,10,204424
13,10,270423
14,10,211089
15,10,194230
16,10,114771
17,10,124014
18,10,86473.9
19,10,105964
0,10,14461.8
1,10,17133.4
2,10,17270.3
3,10,35557.6
4,10,22322.2
5,10,24240.8
6,10,73936.5
7,10,34017.6
8,10,59296.2
9,10,62824.3
10,10,50778.8
11,10,51037.1
