index,sequence,robotz,exposure,result
138,1,1007,70,376
180,0,825,95,301
123,2,1208,65,148
63,3,1406,35,63
257,1,1069,130,629
80,0,826,45,227
12,2,1222,10,69
261,3,1407,135,20
27,1,1043,15,121
218,3,1421,110,78
226,3,1405,115,379
246,3,1415,125,269
91,3,1407,50,463
242,3,1415,125,596
9,0,828,5,9
220,2,1223,115,60
261,1,1013,135,67
158,2,1205,80,1925
38,3,1419,20,167
148,1,1031,75,570
145,2,1226,75,140
16,2,1222,10,24
182,2,1217,95,385
157,1,1028,80,381
78,2,1206,40,378
116,0,841,60,219
105,1,1035,55,211
150,1,1015,80,124
193,4,1604,100,0
149,0,804,75,192
57,1,1001,30,196
125,2,1221,65,218
96,0,817,50,220
123,0,836,65,248
56,0,827,30,58
68,0,844,35,235
156,3,1417,80,750
16,0,816,10,34
184,0,838,95,339
111,0,802,60,245
245,1,1004,125,607
115,0,821,60,310
243,1,1005,125,341
61,3,1411,35,458
186,1,1025,95,199
120,2,1201,65,481
264,2,1205,135,230
111,1,1029,60,413
151,1,1020,80,306
165,2,1209,85,283
187,2,1211,95,40
136,1,1019,70,585
137,2,1216,70,247
103,0,833,55,128
92,1,1005,50,258
101,0,811,55,282
26,1,1024,15,94
16,1,1039,10,137
258,4,1601,130,463
121,3,1420,65,94
54,1,1015,30,200
54,0,835,30,150
149,2,1217,75,120
144,3,1413,75,386
132,1,1016,70,551
41,2,1222,25,235
248,4,1604,125,176
118,3,1433,60,514
178,2,1223,90,7
102,2,1222,55,34
75,1,1009,40,275
264,3,1406,135,97
35,4,1604,20,93
28,0,846,15,62
222,0,818,115,333
239,2,1204,120,788
185,2,1211,95,4
127,0,844,65,380
237,1,1003,120,776
40,1,1018,25,214
50,0,840,30,80
97,2,1228,50,793
195,1,1018,100,544
73,1,1038,40,209
126,0,805,65,177
109,2,1213,55,3
231,0,860,120,488
175,3,1453,90,179
112,2,1211,60,230
68,1,1060,35,584
175,4,1604,90,9
71,0,809,40,68
67,1,1004,35,127
230,2,1209,120,207
79,2,1203,40,330
237,2,1245,120,677
94,2,1216,50,3
215,0,823,110,317
61,1,1035,35,59
6,3,1407,5,32
179,3,1416,90,114
202,0,806,105,411
180,2,1202,95,2
34,1,1009,20,135
140,3,1421,75,311
120,3,1428,65,488
69,4,1619,35,384
147,0,883,75,370
263,0,819,135,337
94,3,1417,50,3
51,0,838,30,137
42,1,1004,25,192
124,0,827,65,176
86,0,803,45,96
100,1,1022,55,59
142,0,811,75,242
142,3,1405,75,9
171,1,1072,90,464
88,3,1406,45,1
166,3,1410,85,6
112,1,1020,60,244
205,0,844,105,350
5,3,1403,5,28
127,4,1604,65,454
172,3,1416,90,311
129,3,1404,65,4
47,0,836,25,100
61,0,810,35,94
120,1,1005,65,219
262,3,1421,135,156
97,3,1427,50,233
98,2,1211,50,256
7,3,1408,5,46
93,2,1212,50,210
169,2,1214,85,6
204,0,813,105,293
157,3,1402,80,124
210,0,845,110,416
110,2,1218,60,557
151,2,1211,80,489
69,2,1204,35,113
14,1,1032,10,72
