index,exposure,result
145,29,5.68764
1460,292,135.656
1461,292,138.879
1462,292,138.156
1463,292,134.772
1464,292,136.588
1465,293,136.085
1466,293,137.625
1467,293,139.149
1468,293,139.181
1469,293,138.451
146,29,5.83554
1470,294,135.776
1471,294,137.677
1472,294,139.08
1473,294,140.565
1474,294,136.113
1475,295,137.208
1476,295,140.201
1477,295,136.862
1478,295,137.696
1479,295,136.581
147,29,5.71977
1480,296,137.464
1481,296,142.489
1482,296,141.391
1483,296,139.244
1484,296,141.315
1485,297,137.621
1486,297,138.951
1487,297,137.847
1488,297,141.009
1489,297,140.852
148,29,5.76152
1490,298,142.284
1491,298,141.539
1492,298,143.114
1493,298,141.383
1494,298,140.96
1495,299,142.167
1496,299,139.132
1497,299,142.126
1498,299,143.653
1499,299,144.1
149,29,5.71735
14,2,0.334604
1500,300,145.395
1501,300,141.897
1502,300,141.951
1503,300,144.2
1504,300,145.185
1505,301,144.586
1506,301,142.926
1507,301,146.276
1508,301,144.626
1509,301,140.584
150,30,6.02071
1510,302,142.25
1511,302,144.324
1512,302,144.45
1513,302,143.949
1514,302,143.454
1515,303,147.001
1516,303,143.316
1517,303,143.159
1518,303,142.145
1519,303,144.824
151,30,6.00922
1520,304,142.539
1521,304,143.142
1522,304,148.876
1523,304,148.059
1524,304,147.559
1525,305,145.25
1526,305,143.471
1527,305,147.858
1528,305,145.571
1529,305,147.747
152,30,6.07812
1530,306,148.655
1531,306,143.628
1532,306,148.808
1533,306,148.536
1534,306,141.482
1535,307,147.25
1536,307,145.842
1537,307,147.938
1538,307,148.282
1539,307,146.512
153,30,6.05529
1540,308,146.9
1541,308,148.536
1542,308,146.604
1543,308,148.257
1544,308,147.91
1545,309,144.593
1546,309,145.86
1547,309,150.19
1548,309,150.275
1549,309,149.266
154,30,5.88108
1550,310,147.133
1551,310,151.442
1552,310,147.544
1553,310,149.735
1554,310,144.667
1555,311,151.215
1556,311,149.266
1557,311,154.997
1558,311,151.735
1559,311,152.506
155,31,6.45209
1560,312,147.453
1561,312,150.439
1562,312,148.975
1563,312,153.326
1564,312,150.557
156,31,6.31195
157,31,6.25954
158,31,6.19777
159,31,6.31471
15,3,0.71902
160,32,6.37502
161,32,6.50616
162,32,6.5195
163,32,6.45471
164,32,6.53694
165,33,6.64537
166,33,6.74888
167,33,6.57729
168,33,6.64733
169,33,6.86306
16,3,0.711208
170,34,6.79945
171,34,6.9531
172,34,6.96452
173,34,6.84909
174,34,6.75854
175,35,7.46001
176,35,7.14478
177,35,7.18078
178,35,7.39181
179,35,7.3965
17,3,0.701896
180,36,7.27665
181,36,7.22802
182,36,7.43419
183,36,7.30931
184,36,7.32523
185,37,7.39227
186,37,7.54364
187,37,7.70656
188,37,7.56915
189,37,7.45189
18,3,0.756396
190,38,7.79623
191,38,7.91612
192,38,7.68018
193,38,7.87718
194,38,7.95134
195,39,8.05516
196,39,8.25847
197,39,8.18773
198,39,8.14968
199,39,7.82735
19,3,0.708437
1,0,0.187646
200,40,8.28929
201,40,8.28331
202,40,8.38079
203,40,8.34799
204,40,8.22833
205,41,8.48329
206,41,8.86518
207,41,8.78583
208,41,8.72106
209,41,8.38391
20,4,1.02844
210,42,8.9627
211,42,9.01277
212,42,8.95719
213,42,8.97539
214,42,9.25777
215,43,9.49703
216,43,9.45033
217,43,9.45612
218,43,9.5471
219,43,9.32537
21,4,1.07217
220,44,9.78054
221,44,9.93845
222,44,9.43708
223,44,9.78517
224,44,9.67052
225,45,10.3831
226,45,9.82529
227,45,9.97979
228,45,10.5236
229,45,10.2028
22,4,1.12431
230,46,10.5413
231,46,10.5978
232,46,10.7591
233,46,10.4631
234,46,10.369
235,47,10.5062
236,47,10.8511
237,47,10.914
238,47,10.9624
239,47,10.9496
23,4,1.11237
240,48,10.8803
241,48,11.1364
242,48,11.2586
243,48,10.9022
244,48,11.0831
245,49,11.2495
246,49,11.467
247,49,11.1965
248,49,11.5644
249,49,11.0477
24,4,1.05852
250,50,11.797
251,50,11.8154
252,50,11.5494
253,50,11.6246
254,50,11.6963
255,51,11.9058
256,51,12.1509
257,51,11.6236
258,51,12.0068
259,51,11.9144
25,5,1.33294
260,52,12.2346
261,52,12.1661
262,52,12.1225
263,52,12.1868
264,52,12.0052
265,53,12.3111
266,53,12.584
267,53,12.3945
268,53,12.8618
269,53,12.5026
26,5,1.37396
270,54,12.6037
271,54,12.905
272,54,12.6664
273,54,12.379
274,54,12.3841
275,55,12.7428
276,55,12.5563
277,55,12.6081
278,55,12.8393
279,55,12.6376
27,5,1.29294
280,56,12.8782
281,56,13.0449
282,56,13.0182
283,56,13.334
284,56,13.0156
285,57,13.0977
286,57,13.6277
287,57,13.6263
288,57,13.4871
289,57,12.9854
28,5,1.41162
290,58,13.6276
291,58,13.6561
292,58,13.5167
293,58,13.6136
294,58,13.3584
295,59,13.9021
296,59,14.0588
297,59,13.9523
298,59,13.9739
299,59,13.8122
29,5,1.28444
2,0,0.173083
300,60,14.398
301,60,14.474
302,60,14.6298
303,60,13.9582
304,60,14.7087
305,61,14.5249
306,61,14.3408
307,61,14.4307
308,61,14.6845
309,61,14.0052
30,6,1.3319
310,62,14.4069
311,62,14.9148
312,62,14.7913
313,62,15.2805
314,62,14.7771
315,63,15.2581
316,63,15.0065
317,63,15.3572
318,63,15.3904
319,63,15.171
31,6,1.34804
320,64,15.0834
321,64,15.1969
322,64,15.5884
323,64,15.7374
324,64,15.1768
325,65,15.7273
326,65,15.8
327,65,15.983
328,65,15.9
329,65,16.3346
32,6,1.35935
330,66,16.1808
331,66,16.1878
332,66,16.5072
333,66,16.2087
334,66,16.0356
335,67,16.3617
336,67,16.7759
337,67,17.025
338,67,16.9853
339,67,16.2541
33,6,1.38606
340,68,17.1433
341,68,17.23
342,68,17.0254
343,68,17.468
344,68,17.2999
345,69,17.7726
346,69,18.0367
347,69,17.6226
348,69,17.371
349,69,17.7545
34,6,1.32477
350,70,18.3632
351,70,17.8088
352,70,18.6697
353,70,17.82
354,70,17.9897
355,71,18.2918
356,71,18.1753
357,71,18.8104
358,71,18.5753
359,71,18.5611
35,7,1.27471
360,72,18.965
361,72,18.9862
362,72,18.8171
363,72,19.1555
364,72,18.4315
365,73,19.2223
366,73,19.4487
367,73,19.0804
368,73,19.1713
369,73,19.2359
36,7,1.25769
370,74,19.7599
371,74,19.5441
372,74,20.4359
373,74,19.1845
374,74,19.6351
375,75,21.0487
376,75,20.2645
377,75,19.9803
378,75,20.4902
379,75,20.3277
37,7,1.24925
380,76,21.0692
381,76,20.7668
382,76,20.9416
383,76,20.8487
384,76,20.2772
385,77,21.2912
386,77,21.0246
387,77,21.3596
388,77,21.3694
389,77,21.6894
38,7,1.25767
390,78,21.7247
391,78,21.2204
392,78,21.8167
393,78,21.7506
394,78,21.4782
395,79,22.1635
396,79,22.2168
397,79,21.7692
398,79,21.737
399,79,21.8635
39,7,1.29115
3,0,0.17025
400,80,22.2999
401,80,22.1671
402,80,22.7782
403,80,22.5477
404,80,22.2404
405,81,22.8319
406,81,22.6507
407,81,23.2549
408,81,22.9698
409,81,22.9645
40,8,1.18829
410,82,23.6616
411,82,23.6173
412,82,23.4031
413,82,23.0456
414,82,23.324
415,83,23.8331
416,83,24.2856
417,83,24.1728
418,83,24.0787
419,83,22.9882
41,8,1.18425
420,84,24.4089
421,84,23.6336
422,84,25.0703
423,84,24.7761
424,84,24.2933
425,85,25.1754
426,85,24.974
427,85,24.8874
428,85,24.5981
429,85,24.4448
42,8,1.17617
430,86,24.7468
431,86,25.243
432,86,24.9782
433,86,25.257
434,86,24.9151
435,87,25.5416
436,87,25.1816
437,87,25.2792
438,87,25.0718
439,87,25.7051
43,8,1.16967
440,88,25.8134
441,88,25.5389
442,88,25.6076
443,88,25.7728
444,88,25.0731
445,89,25.6305
446,89,26.5332
447,89,26.32
448,89,25.8026
449,89,25.7984
44,8,1.15223
450,90,26.4347
451,90,26.1605
452,90,26.0292
453,90,26.1619
454,90,26.1427
455,91,26.7883
456,91,26.8501
457,91,26.6408
458,91,26.1423
459,91,26.7632
45,9,1.09302
460,92,27.077
461,92,26.7094
462,92,27.5685
463,92,27.0749
464,92,27.3257
465,93,26.9689
466,93,28.0467
467,93,28.0264
468,93,27.3919
469,93,27.8618
46,9,1.11252
470,94,28.3568
471,94,27.9079
472,94,28.0605
473,94,28.0982
474,94,28.0676
475,95,28.2611
476,95,28.7302
477,95,27.9578
478,95,28.4821
479,95,28.8503
47,9,1.14139
480,96,28.9656
481,96,28.3498
482,96,29.0516
483,96,27.864
484,96,28.1115
485,97,29.2909
486,97,29.5849
487,97,29.1021
488,97,28.882
489,97,29.4462
48,9,1.13535
490,98,29.6777
491,98,29.6321
492,98,30.2483
493,98,30.0205
494,98,29.2501
495,99,29.9419
496,99,29.8563
497,99,30.7997
498,99,30.6246
499,99,30.7973
49,9,1.13717
4,0,0.18725
500,100,29.9921
501,100,31.2733
502,100,30.3101
503,100,29.662
504,100,31.127
505,101,30.7785
506,101,31.1489
507,101,31.4098
508,101,30.6779
509,101,30.7092
50,10,1.08277
510,102,31.0713
511,102,31.2963
512,102,31.47
513,102,30.4079
514,102,31.1122
515,103,31.7252
516,103,32.1207
517,103,32.817
518,103,32.7082
519,103,31.166
51,10,1.12325
520,104,33.0659
521,104,31.8657
522,104,32.1833
523,104,32.0304
524,104,32.8187
525,105,33.1425
526,105,33.3722
527,105,33.3501
528,105,32.9333
529,105,32.793
52,10,1.06904
530,106,33.223
531,106,31.9891
532,106,32.2292
533,106,33.6699
534,106,33.7627
535,107,34.074
536,107,33.4552
537,107,35.0866
538,107,34.7796
539,107,34.1382
53,10,1.10065
540,108,33.5537
541,108,34.293
542,108,34.2742
543,108,34.7359
544,108,34.3686
545,109,34.5142
546,109,34.9806
547,109,35.5607
548,109,34.9031
549,109,35.0207
54,10,1.02869
550,110,36.0193
551,110,35.1565
552,110,34.8481
553,110,35.2693
554,110,35.518
555,111,36.0515
556,111,36.2501
557,111,35.4884
558,111,35.6847
559,111,37.1379
55,11,1.22069
560,112,36.698
561,112,37.7917
562,112,36.6433
563,112,37.8505
564,112,36.4868
565,113,36.5588
566,113,37.7079
567,113,36.8783
568,113,37.3695
569,113,37.1602
56,11,1.1194
570,114,37.9835
571,114,37.895
572,114,37.736
573,114,37.4966
574,114,37.8675
575,115,37.4633
576,115,38.3543
577,115,37.8198
578,115,37.3474
579,115,38.5837
57,11,1.2014
580,116,39.3553
581,116,38.4201
582,116,38.5232
583,116,39.106
584,116,37.9115
585,117,39.5353
586,117,38.6436
587,117,38.9722
588,117,39.252
589,117,39.8909
58,11,1.15365
590,118,40.3115
591,118,40.5445
592,118,40.695
593,118,40.5509
594,118,40.0271
595,119,39.4576
596,119,40.3505
597,119,40.4132
598,119,40.8053
599,119,39.8196
59,11,1.15565
5,1,0.144792
600,120,40.2574
601,120,39.894
602,120,41.31
603,120,40.3952
604,120,40.3657
605,121,41.9799
606,121,41.1492
607,121,42.6063
608,121,42.229
609,121,41.784
60,12,1.43106
610,122,43.2897
611,122,41.5585
612,122,42.0586
613,122,41.772
614,122,41.5355
615,123,43.1299
616,123,42.4319
617,123,42.0098
618,123,43.7136
619,123,41.4196
61,12,1.50431
620,124,43.0692
621,124,44.431
622,124,43.957
623,124,43.1541
624,124,44.3647
625,125,43.468
626,125,43.7338
627,125,43.3555
628,125,43.1618
629,125,44.0921
62,12,1.43871
630,126,43.9773
631,126,44.6171
632,126,44.067
633,126,44.0412
634,126,43.7822
635,127,45.7827
636,127,45.205
637,127,44.5876
638,127,44.7876
639,127,45.1182
63,12,1.45427
640,128,44.3704
641,128,45.1734
642,128,45.4583
643,128,44.3971
644,128,45.3338
645,129,47.0731
646,129,46.6676
647,129,45.94
648,129,45.7269
649,129,46.33
64,12,1.40458
650,130,48.0185
651,130,47.4746
652,130,47.2486
653,130,47.6227
654,130,47.5576
655,131,46.8437
656,131,46.6864
657,131,46.6781
658,131,45.9024
659,131,46.9239
65,13,1.67421
660,132,48.4193
661,132,48.0518
662,132,46.8328
663,132,48.147
664,132,47.8191
665,133,48.3935
666,133,48.8758
667,133,47.7419
668,133,48.9293
669,133,47.8591
66,13,1.68817
670,134,48.1094
671,134,49.2628
672,134,47.8193
673,134,49.7267
674,134,49.7836
675,135,50.3582
676,135,49.1723
677,135,48.6902
678,135,50.2712
679,135,49.1263
67,13,1.71444
680,136,50.0607
681,136,50.4887
682,136,51.7388
683,136,49.5095
684,136,50.1579
685,137,50.839
686,137,50.075
687,137,51.4854
688,137,51.141
689,137,50.8077
68,13,1.76485
690,138,51.6788
691,138,50.3207
692,138,51.3615
693,138,51.5136
694,138,52.2777
695,139,51.7733
696,139,52.4736
697,139,52.217
698,139,53.0426
699,139,51.1813
69,13,1.71348
6,1,0.199437
700,140,53.9592
701,140,53.0775
702,140,52.2244
703,140,52.5119
704,140,52.3755
705,141,53.0804
706,141,52.2553
707,141,53.7119
708,141,53.6809
709,141,52.3849
70,14,2.03125
710,142,54.2024
711,142,54.0614
712,142,54.6005
713,142,53.9371
714,142,54.3204
715,143,54.6957
716,143,56.1517
717,143,55.4816
718,143,56.7573
719,143,54.8169
71,14,2.06077
720,144,55.4297
721,144,54.4806
722,144,56.3373
723,144,55.4771
724,144,55.188
725,145,55.2561
726,145,55.2089
727,145,57.6156
728,145,54.8852
729,145,55.5362
72,14,2.01487
730,146,55.8281
731,146,57.0155
732,146,56.6917
733,146,57.5227
734,146,56.5791
735,147,58.8225
736,147,57.6235
737,147,58.2563
738,147,56.1449
739,147,57.768
73,14,2.05621
740,148,57.8378
741,148,57.6444
742,148,57.0561
743,148,59.0466
744,148,57.8567
745,149,57.6502
746,149,58.6108
747,149,59.2825
748,149,58.9614
749,149,60.7082
74,14,1.99225
750,150,58.3437
751,150,59.2383
752,150,60.7292
753,150,59.3633
754,150,57.6851
755,151,60.9904
756,151,60.1058
757,151,60.1052
758,151,59.8584
759,151,58.5309
75,15,2.34341
760,152,60.2949
761,152,60.9879
762,152,60.1758
763,152,60.6832
764,152,59.5801
765,153,62.2885
766,153,61.2606
767,153,61.3513
768,153,62.77
769,153,59.3937
76,15,2.25283
770,154,62.2219
771,154,61.5063
772,154,61.1127
773,154,62.1094
774,154,62.2577
775,155,61.5222
776,155,61.3506
777,155,63.3391
778,155,62.7103
779,155,62.8423
77,15,2.30475
780,156,63.4684
781,156,62.7392
782,156,65.194
783,156,62.4636
784,156,63.8113
785,157,65.9184
786,157,64.3584
787,157,65.8343
788,157,65.3504
789,157,64.0498
78,15,2.37854
790,158,65.1411
791,158,65.0045
792,158,65.4639
793,158,64.5884
794,158,65.9822
795,159,65.857
796,159,65.2619
797,159,64.5071
798,159,65.1168
799,159,66.7273
79,15,2.34979
7,1,0.194916
800,160,66.9788
801,160,67.7718
802,160,65.4947
803,160,66.0726
804,160,64.9627
805,161,65.3571
806,161,67.9157
807,161,66.3359
808,161,67.7167
809,161,66.6141
80,16,2.5879
810,162,69.4201
811,162,67.6621
812,162,67.0411
813,162,66.1851
814,162,66.5087
815,163,69.6979
816,163,68.1292
817,163,68.4938
818,163,68.6728
819,163,68.0298
81,16,2.61031
820,164,69.3117
821,164,68.8085
822,164,69.1788
823,164,68.066
824,164,69.2943
825,165,69.7412
826,165,69.3357
827,165,68.4843
828,165,69.4686
829,165,69.6603
82,16,2.46789
830,166,71.7021
831,166,70.8377
832,166,69.3135
833,166,69.8578
834,166,70.8013
835,167,70.6482
836,167,69.9153
837,167,71.5974
838,167,71.3775
839,167,70.2282
83,16,2.59717
840,168,70.6634
841,168,71.4333
842,168,71.7109
843,168,70.8549
844,168,69.2942
845,169,71.4867
846,169,72.7267
847,169,72.7221
848,169,70.9155
849,169,70.9199
84,16,2.54479
850,170,73.4332
851,170,73.1771
852,170,73.1979
853,170,72.3031
854,170,72.9257
855,171,75.4502
856,171,74.9829
857,171,73.887
858,171,72.4576
859,171,72.0597
85,17,2.78608
860,172,73.5781
861,172,75.587
862,172,74.2643
863,172,74.3079
864,172,75.1129
865,173,74.4148
866,173,76.5175
867,173,73.9422
868,173,73.3206
869,173,72.984
