sequence,index,robotz,exposure,result
18,17,1167,4,2381
18,18,1167,4,2189
18,19,1167,4,2159
19,0,830,4,3316
19,1,869,4,2988
19,2,905,4,2972
19,3,939,4,3049
19,4,970,4,3199
19,5,1000,4,3368
19,6,1051,4,3328
19,7,1073,4,4128
19,8,1093,4,3668
19,9,1110,4,3957
19,10,1126,4,4366
19,11,1138,4,4255
19,12,1149,4,4218
19,13,1157,4,4266
19,14,1162,4,4009
19,15,1166,4,3945
19,16,1167,4,4053
19,17,1167,4,4289
19,18,1167,4,3788
19,19,1167,4,4128
20,0,810,5,3917
20,1,850,5,3503
20,2,888,5,3269
20,3,924,5,3071
20,4,957,5,2840
20,5,988,5,2619
20,6,1016,5,2381
20,7,1042,5,2347
20,8,1066,5,2280
20,9,1087,5,2312
20,10,1105,5,2191
20,11,1121,5,2235
20,12,1135,5,2044
20,13,1155,5,2051
20,14,1162,5,2168
20,15,1165,5,2021
20,16,1167,5,1995
20,17,1167,5,1907
20,18,1167,5,1981
20,19,1167,5,2032
21,0,810,5,2337
21,1,848,5,2367
21,2,884,5,2404
21,3,918,5,2776
21,4,950,5,2945
21,5,979,5,3250
21,6,1007,5,3163
21,7,1032,5,3625
21,8,1055,5,3811
21,9,1076,5,3335
21,10,1095,5,3559
21,11,1148,5,4310
21,12,1148,5,4030
21,13,1156,5,4159
21,14,1167,5,4112
21,15,1167,5,3837
21,16,1167,5,4068
21,17,1167,5,3820
21,18,1167,5,3790
21,19,1167,5,3305
22,0,839,5,4059
22,1,878,5,4047
22,2,915,5,4460
22,3,949,5,4024
22,4,981,5,3803
22,5,1010,5,4052
22,6,1036,5,4316
22,7,1061,5,4405
22,8,1082,5,4258
22,9,1101,5,4426
22,10,1118,5,4621
22,11,1133,5,4532
22,12,1144,5,4603
22,13,1154,5,4614
22,14,1165,5,4807
22,15,1167,5,4882
22,16,1167,5,4709
22,17,1167,5,4857
22,18,1167,5,4631
22,19,1167,5,4765
23,0,813,5,3215
23,1,852,5,2964
23,2,888,5,3055
23,3,922,5,2775
23,4,954,5,2412
23,5,984,5,2181
23,6,1012,5,2105
23,7,1037,5,2136
23,8,1060,5,2071
23,9,1081,5,1898
23,10,1099,5,1997
23,11,1116,5,1962
23,12,1130,5,2018
23,13,1142,5,2042
23,14,1151,5,2076
23,15,1164,5,2041
23,16,1166,5,1875
23,17,1167,5,2051
23,18,1167,5,1802
23,19,1167,5,1979
24,0,811,5,2708
24,1,852,5,2647
24,2,890,5,1887
24,3,926,5,1577
24,4,959,5,1328
24,5,990,5,1290
24,6,1018,5,1328
24,7,1044,5,1717
24,8,1123,5,2297
24,9,1123,5,3111
24,10,1136,5,3435
24,11,1147,5,3525
24,12,1156,5,3678
24,13,1162,5,3812
24,14,1166,5,4221
24,15,1167,5,4511
24,16,1167,5,4687
24,17,1167,5,4520
24,18,1167,5,5122
24,19,1167,5,4913
25,0,803,6,4146
25,1,844,6,3935
25,2,882,6,4359
25,3,918,6,4259
25,4,952,6,4045
25,5,983,6,4350
25,6,1011,6,4597
25,7,1038,6,4653
25,8,1062,6,4655
25,9,1083,6,5119
25,10,1102,6,5542
25,11,1119,6,5231
25,12,1133,6,5823
25,13,1145,6,6291
25,14,1154,6,5478
25,15,1161,6,6345
25,16,1165,6,6311
25,17,1167,6,6354
25,18,1167,6,6463
25,19,1167,6,5919
26,0,810,6,4926
26,1,852,6,5024
26,2,890,6,4928
26,3,926,6,5608
26,4,960,6,5562
26,5,991,6,5282
26,6,1020,6,6097
26,7,1046,6,6176
26,8,1090,6,6093
26,9,1109,6,6227
26,10,1124,6,5847
26,11,1138,6,6350
26,12,1149,6,6255
26,13,1157,6,6464
26,14,1163,6,6511
26,15,1166,6,6610
26,16,1167,6,6698
26,17,1167,6,7231
26,18,1167,6,7602
26,19,1167,6,7249
27,0,822,6,5843
27,1,861,6,6219
27,2,898,6,6238
27,3,932,6,5950
27,4,964,6,6009
27,5,993,6,6233
27,6,1021,6,5851
27,7,1045,6,6314
27,8,1068,6,6706
27,9,1088,6,6933
27,10,1106,6,6784
27,11,1122,6,6715
27,12,1135,6,7070
27,13,1146,6,7590
27,14,1155,6,7354
27,15,1161,6,7290
27,16,1165,6,7693
27,17,1167,6,7007
27,18,1167,6,7066
27,19,1167,6,7179
28,0,822,6,4480
28,1,859,6,4345
28,2,893,6,4936
28,3,926,6,4664
28,4,957,6,4485
28,5,985,6,4591
28,6,1012,6,4880
28,7,1036,6,4956
28,8,1059,6,4800
28,9,1079,6,5335
28,10,1097,6,5012
28,11,1113,6,5253
28,12,1127,6,4966
28,13,1139,6,5226
28,14,1149,6,5486
28,15,1157,6,5602
28,16,1162,6,5296
28,17,1166,6,4892
28,18,1167,6,5134
28,19,1167,6,5373
29,0,817,6,5170
29,1,857,6,5259
29,2,893,6,5405
29,3,928,6,5034
29,4,960,6,5241
29,5,990,6,5317
29,6,1018,6,5599
29,7,1043,6,5804
29,8,1066,6,5878
29,9,1087,6,6406
29,10,1105,6,6675
29,11,1134,6,7170
29,12,1145,6,7579
29,13,1154,6,8011
29,14,1161,6,8747
29,15,1167,6,9566
29,16,1167,6,9818
29,17,1167,6,9603
29,18,1167,6,9576
29,19,1167,6,9294
30,0,819,7,11391
30,1,859,7,12009
30,2,895,7,11337
30,3,930,7,11355
30,4,962,7,10925
30,5,1020,7,11504
30,6,1045,7,11423
30,7,1068,7,11781
30,8,1088,7,11893
30,9,1106,7,12304
30,10,1122,7,11461
30,11,1135,7,11929
30,12,1146,7,11296
30,13,1155,7,12366
30,14,1161,7,11964
30,15,1165,7,12370
30,16,1167,7,12071
30,17,1167,7,11978
30,18,1167,7,11862
30,19,1167,7,11463
31,0,840,7,7395
31,1,879,7,7928
31,2,915,7,7402
31,3,949,7,7966
31,4,981,7,8430
31,5,1010,7,9421
31,6,1036,7,9070
31,7,1060,7,9131
31,8,1082,7,9317
31,9,1101,7,9748
31,10,1118,7,9880
31,11,1133,7,10134
31,12,1144,7,10171
31,13,1161,7,10054
31,14,1165,7,9874
31,15,1167,7,10115
31,16,1167,7,9764
31,17,1167,7,10369
31,18,1167,7,10323
31,19,1167,7,10104
32,0,835,7,3234
32,1,871,7,3175
32,2,906,7,3031
32,3,938,7,2473
32,4,968,7,2154
32,5,997,7,2118
32,6,1023,7,2048
32,7,1046,7,1853
32,8,1068,7,1694
32,9,1088,7,1525
32,10,1105,7,1532
32,11,1120,7,1468
32,12,1134,7,1597
32,13,1145,7,1609
32,14,1153,7,1597
32,15,1160,7,1666
32,16,1164,7,1643
32,17,1167,7,1640
32,18,1167,7,1650
32,19,1167,7,1684
