index,sequence,robotz,exposure,result
219,3,1404,110,7.99435
84,2,1201,45,7.99435
171,3,1409,90,7.99435
186,2,1214,95,7.62205
241,0,824,125,7.99435
9,1,1009,5,6.12928
64,1,1022,35,7.99435
175,1,1032,90,7.98868
14,0,807,10,7.48382
92,3,1402,50,7.98868
192,4,1607,100,7.98868
124,2,1227,65,7.99435
111,3,1401,60,7.98868
224,0,837,115,7.99435
144,2,1218,75,7.99435
135,1,1020,70,7.99435
181,1,1007,95,7.98868
232,3,1409,120,7.99435
29,0,807,15,7.53138
157,2,1216,80,7.99435
61,2,1219,35,7.98868
212,1,1002,110,7.99435
81,3,1422,45,7.36632
30,1,1026,20,7.98868
228,3,1420,115,7.99435
43,0,841,25,7.90689
146,3,1403,75,7.99435
252,2,1210,130,6.75489
42,0,821,25,7.94251
254,1,1011,130,7.98868
89,1,1020,45,7.99435
4,2,1218,5,6.67243
90,2,1201,50,7.99435
231,3,1424,120,7.99435
103,1,1013,55,7.98868
86,3,1408,45,7.99435
247,2,1211,125,7.99435
118,2,1202,60,7.98868
136,2,1210,70,7.98868
106,2,1203,55,7.99435
211,0,845,110,7.98868
178,3,1408,90,7.03342
48,3,1432,25,7.85798
83,0,815,45,7.98868
217,1,1041,110,7.99435
193,1,1024,100,7.99435
190,3,1430,100,7.98868
122,3,1421,65,7.99435
27,0,822,15,7.73471
195,3,1407,100,7.99435
41,3,1405,25,7.2384
207,3,1401,105,7.99435
7,2,1222,5,6.45943
139,2,1215,70,7.99435
229,0,819,115,7.99435
192,3,1423,100,7.98868
80,2,1203,45,7.99435
4,3,1424,5,6.58496
66,2,1208,35,7.16993
5,1,1021,5,6.45943
77,0,818,40,7.9542
22,1,1013,15,7.45943
45,3,1411,25,7.83289
75,2,1204,40,7.98868
161,4,1604,85,7.93664
36,4,1629,20,7.99435
241,2,1202,125,7.85798
59,2,1220,30,7.03342
240,0,844,125,7.98868
26,0,847,15,7.70736
233,0,804,120,7.98868
73,4,1603,40,6.93074
123,1,1015,65,7.98868
223,3,1430,115,7.99435
159,1,1038,80,7.99435
195,0,840,100,7.98868
224,2,1208,115,7.99435
168,3,1412,85,7.99435
238,2,1215,120,7.98299
148,0,806,75,7.98868
28,2,1212,15,7.65821
32,2,1206,20,7.74147
54,2,1207,30,7.98868
147,2,1207,75,7.99435
35,2,1215,20,7.99435
34,0,877,20,7.87036
162,0,806,85,7.98299
153,3,1433,80,7.99435
103,3,1406,55,7.99435
24,1,1005,15,7.56986
159,3,1420,80,7.99435
69,0,828,35,7.93664
110,3,1415,60,7.98868
234,3,1416,120,7.99435
191,0,831,100,7.98868
115,3,1402,60,7.99435
88,1,1027,45,7.98868
117,3,1421,60,7.99435
49,2,1207,25,7.93074
244,2,1205,125,7.98868
73,0,815,40,7.98868
238,3,1433,120,7.99435
225,1,1029,115,7.99435
246,1,1015,125,7.99435
21,3,1421,15,6.24793
92,0,823,50,7.98299
53,3,1420,30,7.70736
221,1,1040,115,7.98868
205,3,1408,105,7.99435
244,0,829,125,7.98868
57,0,817,30,7.79442
209,1,1031,105,7.99435
263,2,1223,135,7.99435
119,1,1007,60,7.98868
42,2,1201,25,7.96
9,3,1402,5,6.79442
74,2,1207,40,7.98868
128,1,1029,65,7.99435
88,0,851,45,7.92481
74,0,834,40,7.96
162,4,1613,85,7.99435
204,2,1220,105,7.99435
78,3,1410,40,7.99435
149,3,1406,75,7.99435
15,2,1204,10,7.48382
109,0,847,55,7.98299
121,0,810,65,7.98868
173,0,843,90,7.98868
134,2,1205,70,6.76818
59,1,1036,30,7
181,0,825,95,7.98299
94,1,1029,50,7.97728
161,3,1417,85,7.99435
31,3,1413,20,7.94837
59,0,812,30,7.8392
139,1,1027,70,7.99435
143,1,1027,75,7.99435
213,0,820,110,7.98868
20,0,821,15,7.61471
132,0,837,70,7.98299
40,3,1401,25,6.84549
104,1,1030,55,7.98868
252,3,1406,130,7.27612
126,3,1419,65,7.99435
25,3,1409,15,7.93664
36,0,827,20,7.62936
183,1,1007,95,7.99435
169,0,850,85,7.98868
36,3,1410,20,7.8009
134,1,1012,70,7.99435
117,1,1014,60,7.98868
26,2,1213,15,7.84549
82,3,1424,45,7.98868
72,0,822,40,7.92481
54,3,1409,30,7.99435
258,1,1034,130,7.99435
62,3,1401,35,7.14975
10,0,832,10,7.85175
21,0,832,15,7.7879
108,0,820,55,7.96
